Library, Design Unit, compile Time, Peak Mem Usage
work, top, 0h:00m:00s,     78 MB
work, reveal_coretop, 0h:00m:00s,     78 MB
work, jtagconn16, 0h:00m:00s,     78 MB
work, top_la0, 0h:00m:00s,     78 MB
work, pmi_ram_dp_Z6, 0h:00m:00s,     78 MB
work, rvl_tm_Z5, 0h:00m:00s,     89 MB
work, top_la0_trig, 0h:00m:00s,     89 MB
work, rvl_tcnt_3s_3s_1_0s, 0h:00m:00s,     89 MB
work, pmi_distributed_dpram_8s_3s_2s_reg_none_binary_XO3LF_pmi_distributed_dpram_Z4, 0h:00m:00s,     89 MB
work, rvl_te_Z3, 0h:00m:00s,    100 MB
work, pmi_ram_dp_Z2, 0h:00m:00s,    100 MB
work, rvl_te_Z1, 0h:00m:00s,    100 MB
work, rvl_tu_1s_0s_0s_0s_1s, 0h:00m:00s,    100 MB
work, rvl_decode_3s_3s, 0h:00m:00s,    100 MB
work, rvl_jtag_int_37s_3s_0s_0s_6s_37s_37s, 0h:00m:00s,    100 MB
work, VHI, 0h:00m:00s,    100 MB
work, raw_colorbar_gen_uniq_1, 0h:00m:00s,    100 MB
work, pll_sensor_clk_uniq_1, 0h:00m:00s,    100 MB
work, EHXPLLJ, 0h:00m:00s,    100 MB
work, VLO, 0h:00m:00s,    100 MB
work, OSCH, 0h:00m:00s,    100 MB
